id,type,prix,date_debut,date_fin,statut
6253,Premium Mensuel,70.54,2024-09-14,2024-10-15,SUSPENDU
4685,Premium Hebdomadaire,19.12,2023-11-16,2023-11-25,EXPIRE
1732,Basique Hebdomadaire,12.36,2023-08-22,2023-08-29,EXPIRE
4743,Basique Mensuel,41.59,2025-07-04,2025-08-03,ACTIVE
4522,Etudiant Mensuel,31.04,2023-07-16,2023-08-11,EXPIRE
6341,Premium Hebdomadaire,19.32,2023-11-12,2023-11-21,EXPIRE
577,Basique Hebdomadaire,14.93,2024-06-06,2024-06-14,EXPIRE
5203,Basique Hebdomadaire,13.48,2024-01-12,2024-01-20,ACTIVE
6364,Etudiant Mensuel,31.72,2024-12-06,2025-01-09,SUSPENDU
440,Basique Hebdomadaire,13.11,2024-09-11,2024-09-19,ACTIVE
2751,Premium Hebdomadaire,23.15,2025-11-19,2025-11-26,EXPIRE
7488,Basique Hebdomadaire,13.82,2024-03-23,2024-03-30,ACTIVE
5273,Basique Mensuel,41.93,2026-06-07,2026-07-12,ACTIVE
5654,Basique Mensuel,39.62,2023-09-18,2023-10-17,ACTIVE
4000,Family Mensuel,83.14,2025-02-27,2025-04-01,ACTIVE
6034,Basique Hebdomadaire,11.91,2026-07-18,2026-07-24,EXPIRE
583,Family Mensuel,86.83,2023-07-03,2023-08-05,ACTIVE
9931,Premium Mensuel,71.22,2026-08-17,2026-09-21,ACTIVE
7052,Family Mensuel,83.21,2025-02-24,2025-03-29,ACTIVE
8159,Family Mensuel,80.77,2025-05-11,2025-06-12,ACTIVE
9897,Premium Hebdomadaire,20.19,2026-05-13,2026-05-21,SUSPENDU
2250,Basique Mensuel,45.75,2025-07-07,2025-08-10,EXPIRE
4641,Family Mensuel,76.66,2026-01-24,2026-02-20,ACTIVE
9486,Premium Mensuel,74.82,2024-05-01,2024-06-05,ACTIVE
4948,Premium Mensuel,67.59,2024-08-27,2024-09-27,EXPIRE
9921,Premium Hebdomadaire,18.14,2025-04-27,2025-05-03,SUSPENDU
1964,Basique Mensuel,43.65,2023-12-16,2024-01-18,EXPIRE
8244,Premium Hebdomadaire,22.4,2024-10-27,2024-11-02,SUSPENDU
6591,Family Mensuel,79.6,2026-10-12,2026-11-12,EXPIRE
8848,Pro Annuel,700.21,2024-05-28,2025-06-02,ACTIVE
322,Family Mensuel,78.76,2024-01-05,2024-02-09,EXPIRE
2679,Pro Annuel,710.16,2026-05-27,2027-06-02,ACTIVE
4626,Pro Annuel,702.26,2026-10-09,2027-10-14,ACTIVE
4950,Basique Mensuel,44.87,2026-06-20,2026-07-24,SUSPENDU
8329,Basique Hebdomadaire,14.61,2023-07-23,2023-08-01,EXPIRE
3338,Premium Mensuel,72.22,2026-03-03,2026-04-05,EXPIRE
5590,Pro Annuel,740.76,2025-07-11,2026-07-18,ACTIVE
252,Pro Annuel,701.64,2026-03-05,2027-03-10,ACTIVE
3974,Pro Annuel,658.15,2023-01-08,2024-01-09,SUSPENDU
6631,Basique Hebdomadaire,11.17,2026-05-16,2026-05-24,ACTIVE
5548,Basique Mensuel,38.43,2026-09-02,2026-10-02,ACTIVE
36,Premium Mensuel,67.79,2023-12-21,2024-01-16,EXPIRE
8363,Pro Annuel,725.61,2024-07-18,2025-07-19,ACTIVE
1514,Pro Annuel,696.63,2026-03-28,2027-03-31,ACTIVE
9318,Premium Mensuel,64.0,2023-01-08,2023-02-05,ACTIVE
40,Basique Mensuel,41.94,2026-07-15,2026-08-10,EXPIRE
4820,Pro Annuel,727.49,2025-06-25,2026-06-30,ACTIVE
3466,Basique Hebdomadaire,10.0,2026-01-11,2026-01-18,SUSPENDU
1761,Family Mensuel,86.14,2024-07-14,2024-08-11,SUSPENDU
2305,Premium Mensuel,76.08,2023-12-16,2024-01-20,ACTIVE
3724,Basique Mensuel,40.87,2026-07-10,2026-08-12,ACTIVE
8285,Basique Mensuel,35.78,2026-01-27,2026-02-24,ACTIVE
4994,Etudiant Mensuel,29.01,2025-02-22,2025-03-23,EXPIRE
8128,Etudiant Mensuel,24.61,2024-09-01,2024-09-30,ACTIVE
3033,Basique Hebdomadaire,15.33,2026-06-21,2026-06-29,ACTIVE
7939,Premium Mensuel,75.48,2023-07-09,2023-08-09,EXPIRE
3040,Basique Mensuel,39.62,2023-02-02,2023-03-04,ACTIVE
9656,Family Mensuel,82.34,2024-10-15,2024-11-14,ACTIVE
2546,Basique Mensuel,43.27,2025-04-24,2025-05-29,ACTIVE
2593,Family Mensuel,75.11,2026-09-11,2026-10-08,EXPIRE
1189,Premium Mensuel,73.78,2023-06-02,2023-07-03,ACTIVE
7967,Basique Hebdomadaire,14.84,2024-04-10,2024-04-16,EXPIRE
6078,Pro Annuel,698.38,2023-08-18,2024-08-15,EXPIRE
108,Basique Hebdomadaire,13.52,2024-01-09,2024-01-18,ACTIVE
1316,Pro Annuel,697.63,2023-02-05,2024-02-10,EXPIRE
8188,Pro Annuel,701.13,2024-05-22,2025-05-24,ACTIVE
2754,Etudiant Mensuel,30.22,2025-02-17,2025-03-22,ACTIVE
9754,Family Mensuel,75.8,2023-09-05,2023-10-05,EXPIRE
